Mã,Chỉ số,2020,2021,2022,2023,2024
KVC,Chỉ số thanh toán nhanh,0.67,0.46,0.47,0.59,0.88
KVC,Chỉ số thanh toán tiền mặt,0.03,0.02,0.05,0.06,0.01
KVC,Đòn bẩy tài chính,1.39,1.27,1.29,1.21,1.19
KVC,Khả năng chi trả lãi vay,-0.93,-1.92,-0.36,-2.46,-3.23
L10,Biên EBIT (%),2.31,2.26,1.77,1.95,2.14
L10,Biên lợi nhuận gộp (%),3.73,3.13,3.66,4.02,4.78
L10,Biên lợi nhuận ròng (%),1.51,1.37,1.63,2.47,2.57
L10,Chỉ số thanh toán hiện thời,1.45,1.43,1.56,1.86,1.46
L10,Chỉ số thanh toán nhanh,1.1,0.99,1.29,1.45,0.95
L10,Chỉ số thanh toán tiền mặt,0.4,0.53,0.56,0.81,0.4
L10,Đòn bẩy tài chính,4.17,5.03,4.09,4.72,4.88
L10,Khả năng chi trả lãi vay,3.41,2.82,2.68,2.46,2.6
L12,Biên EBIT (%),4.59,3.92,4.15,4.75,NaN
L12,Biên lợi nhuận gộp (%),10.65,8.02,7.23,9.76,NaN
L12,Biên lợi nhuận ròng (%),1.45,0.51,0.93,0.73,NaN
L12,Chỉ số thanh toán hiện thời,1.0,1.02,1.1,1.18,NaN
L12,Chỉ số thanh toán nhanh,0.58,0.57,0.62,0.63,NaN
L12,Chỉ số thanh toán tiền mặt,0.08,0.01,0.0,0.0,NaN
L12,Đòn bẩy tài chính,3.88,4.06,4.21,3.82,NaN
L12,Khả năng chi trả lãi vay,1.5,1.39,1.06,0.75,NaN
L14,Biên EBIT (%),20.06,27.68,37.11,5.47,25.71
L14,Biên lợi nhuận gộp (%),41.25,44.94,56.5,13.03,42.61
L14,Biên lợi nhuận ròng (%),30.06,223.15,10.95,17.99,12.62
L14,Chỉ số thanh toán hiện thời,2.81,2.73,2.97,2.4,2.64
L14,Chỉ số thanh toán nhanh,2.13,2.42,1.85,1.52,1.59
L14,Chỉ số thanh toán tiền mặt,0.59,0.21,1.08,0.58,0.53
L14,Đòn bẩy tài chính,1.47,1.54,1.4,1.55,1.46
L14,Khả năng chi trả lãi vay,62.31,7.08,46.16,3.06,11.93
L18,Biên EBIT (%),0.86,2.1,2.92,2.62,8.1
L18,Biên lợi nhuận gộp (%),4.58,5.39,5.96,6.64,12.79
L18,Biên lợi nhuận ròng (%),1.15,1.68,1.99,1.86,4.57
L18,Chỉ số thanh toán hiện thời,1.08,1.35,1.46,1.22,1.35
L18,Chỉ số thanh toán nhanh,0.67,0.72,0.69,0.4,0.55
L18,Chỉ số thanh toán tiền mặt,0.1,0.02,0.1,0.06,0.1
L18,Đòn bẩy tài chính,6.68,5.33,5.73,9.17,6.44
L18,Khả năng chi trả lãi vay,0.45,2.33,1.79,1.35,4.58
L35,Biên EBIT (%),0.77,2.49,1.6,-20.72,-1.18
L35,Biên lợi nhuận gộp (%),7.43,11.04,8.03,-6.21,5.43
L35,Biên lợi nhuận ròng (%),-8.87,-8.01,-13.9,-23.4,-2.2
L35,Chỉ số thanh toán hiện thời,1.08,1.08,1.03,0.99,0.99
L35,Chỉ số thanh toán nhanh,0.73,0.7,0.62,0.53,0.59
L35,Chỉ số thanh toán tiền mặt,0.01,0.0,0.02,0.02,0.02
L35,Đòn bẩy tài chính,5.69,7.12,11.2,22.64,30.05
L35,Khả năng chi trả lãi vay,0.08,0.24,0.16,-247.94,NaN
L40,Biên EBIT (%),5.49,-0.54,-3.63,-1.94,14.75
L40,Biên lợi nhuận gộp (%),10.87,5.66,2.13,5.29,17.0
L40,Biên lợi nhuận ròng (%),5.0,0.18,-0.46,1.0,12.49
L40,Chỉ số thanh toán hiện thời,1.02,0.98,1.02,1.06,2.43
L40,Chỉ số thanh toán nhanh,0.88,0.77,0.82,0.91,2.1
L40,Chỉ số thanh toán tiền mặt,0.45,0.38,0.04,0.44,1.3
L40,Đòn bẩy tài chính,2.72,3.0,2.43,2.86,1.71
L40,Khả năng chi trả lãi vay,NaN,NaN,-26.95,-75.19,NaN
L43,Biên EBIT (%),4.26,12.35,-6.84,-160.89,NaN
L43,Biên lợi nhuận gộp (%),5.61,26.82,9.22,-11.66,NaN
L43,Biên lợi nhuận ròng (%),0.05,-22.43,-24.07,-357.64,NaN
L43,Chỉ số thanh toán hiện thời,1.01,1.0,1.04,1.02,NaN
L43,Chỉ số thanh toán nhanh,0.56,0.57,0.57,0.52,NaN
L43,Chỉ số thanh toán tiền mặt,0.02,0.03,0.03,0.0,NaN
L43,Đòn bẩy tài chính,8.17,10.43,12.37,20.33,NaN
L43,Khả năng chi trả lãi vay,1.03,0.33,-0.19,-0.74,NaN
L44,Chỉ số thanh toán hiện thời,0.47,0.46,NaN,NaN,NaN
L44,Chỉ số thanh toán nhanh,0.1,0.1,NaN,NaN,NaN
L44,Chỉ số thanh toán tiền mặt,0.01,0.01,NaN,NaN,NaN
L44,Đòn bẩy tài chính,-0.94,-0.88,NaN,NaN,NaN
L44,Khả năng chi trả lãi vay,-0.43,-0.29,NaN,NaN,NaN
L45,Biên EBIT (%),7.14,4.75,-15.03,-10.76,NaN
L45,Biên lợi nhuận gộp (%),13.97,14.14,-8.68,0.04,NaN
L45,Biên lợi nhuận ròng (%),0.04,0.02,-31.74,-18.68,NaN
L45,Chỉ số thanh toán hiện thời,1.02,1.04,0.84,0.83,NaN
L45,Chỉ số thanh toán nhanh,0.37,0.4,0.33,0.33,NaN
L45,Chỉ số thanh toán tiền mặt,0.01,0.04,0.02,0.0,NaN
L45,Đòn bẩy tài chính,12.83,13.71,48.25,218.62,NaN
L45,Khả năng chi trả lãi vay,1.46,0.98,-1.02,-2.19,NaN
L61,Biên EBIT (%),5.39,4.68,-9.68,-1.35,NaN
L61,Biên lợi nhuận gộp (%),11.1,7.89,-5.25,6.88,NaN
L61,Biên lợi nhuận ròng (%),-0.22,0.06,-17.96,-28.54,NaN
L61,Chỉ số thanh toán hiện thời,1.05,1.08,1.01,0.96,NaN
L61,Chỉ số thanh toán nhanh,0.26,0.21,0.21,0.22,NaN
L61,Chỉ số thanh toán tiền mặt,0.02,0.03,0.0,0.0,NaN
L61,Đòn bẩy tài chính,6.31,5.53,9.92,28.53,NaN
L61,Khả năng chi trả lãi vay,1.16,1.19,-1.41,-0.05,NaN
L62,Biên EBIT (%),8.52,10.78,9.89,-19.16,NaN
L62,Biên lợi nhuận gộp (%),13.29,15.48,30.66,2.44,NaN
L62,Biên lợi nhuận ròng (%),0.19,-1.53,-28.88,-127.87,NaN
L62,Chỉ số thanh toán hiện thời,1.03,1.03,0.98,0.81,NaN
L62,Chỉ số thanh toán nhanh,0.58,0.61,0.5,0.38,NaN
L62,Chỉ số thanh toán tiền mặt,0.02,0.0,0.01,0.0,NaN
L62,Đòn bẩy tài chính,5.54,5.57,8.23,-15.65,NaN
L62,Khả năng chi trả lãi vay,1.02,0.79,0.37,-0.26,NaN
L63,Biên EBIT (%),5.62,3.01,-2.13,4.26,NaN
L63,Biên lợi nhuận gộp (%),8.53,5.56,0.23,7.78,NaN
L63,Biên lợi nhuận ròng (%),0.04,0.03,-5.09,0.64,NaN
L63,Chỉ số thanh toán hiện thời,1.06,1.01,1.01,1.0,NaN
L63,Chỉ số thanh toán nhanh,0.69,0.42,0.54,0.69,NaN
L63,Chỉ số thanh toán tiền mặt,0.01,0.01,0.01,0.04,NaN
L63,Đòn bẩy tài chính,8.09,7.58,11.18,7.14,NaN
L63,Khả năng chi trả lãi vay,1.07,1.03,-0.73,1.1,NaN
LAF,Biên EBIT (%),6.26,10.93,10.03,10.49,12.96
LAF,Biên lợi nhuận gộp (%),12.77,19.51,15.94,17.9,22.12
LAF,Biên lợi nhuận ròng (%),5.98,9.54,5.05,6.63,9.65
LAF,Chỉ số thanh toán hiện thời,2.76,2.35,1.43,2.13,2.26
LAF,Chỉ số thanh toán nhanh,1.15,0.82,0.33,0.37,1.02
LAF,Chỉ số thanh toán tiền mặt,0.26,0.3,0.06,0.06,0.22
LAF,Đòn bẩy tài chính,1.31,1.42,2.16,1.5,1.48
LAF,Khả năng chi trả lãi vay,7.99,12.16,5.21,6.74,16.64
LAI,Biên EBIT (%),9.91,14.07,19.5,23.87,NaN
LAI,Biên lợi nhuận gộp (%),17.1,24.05,29.62,35.55,NaN
LAI,Biên lợi nhuận ròng (%),6.89,10.1,14.07,17.65,NaN
LAI,Chỉ số thanh toán hiện thời,1.14,1.04,2.48,1.32,NaN
LAI,Chỉ số thanh toán nhanh,0.36,0.33,0.28,0.2,NaN
LAI,Chỉ số thanh toán tiền mặt,0.03,0.1,0.14,0.12,NaN
LAI,Đòn bẩy tài chính,3.46,4.92,5.39,5.75,NaN
LAI,Khả năng chi trả lãi vay,5.54,7.08,8.62,7.53,NaN
LAS,Biên EBIT (%),2.81,3.05,3.72,5.44,5.92
LAS,Biên lợi nhuận gộp (%),17.41,13.3,14.4,16.19,17.97
LAS,Biên lợi nhuận ròng (%),0.35,2.39,2.81,4.32,4.89
LAS,Chỉ số thanh toán hiện thời,2.82,2.04,2.08,2.18,1.92
LAS,Chỉ số thanh toán nhanh,1.68,1.02,0.76,1.07,0.79
LAS,Chỉ số thanh toán tiền mặt,0.14,0.02,0.05,0.02,0.02
LAS,Đòn bẩy tài chính,1.41,1.72,1.69,1.66,1.81
LAS,Khả năng chi trả lãi vay,1.77,7.5,6.38,10.73,13.64
LAW,Biên EBIT (%),7.62,8.35,8.44,7.34,8.37
LAW,Biên lợi nhuận gộp (%),20.68,19.85,21.42,21.67,25.63
LAW,Biên lợi nhuận ròng (%),4.74,4.98,5.63,5.34,6.28
LAW,Chỉ số thanh toán hiện thời,0.44,0.49,0.41,0.47,0.72
LAW,Chỉ số thanh toán nhanh,0.14,0.23,0.16,0.27,0.38
LAW,Chỉ số thanh toán tiền mặt,0.06,0.09,0.04,0.06,0.12
LAW,Đòn bẩy tài chính,1.9,1.87,1.94,1.82,1.83
LAW,Khả năng chi trả lãi vay,3.2,3.59,3.9,3.47,7.06
LBC,Biên EBIT (%),2.84,2.78,3.49,NaN,NaN
LBC,Biên lợi nhuận gộp (%),22.49,19.78,20.85,NaN,NaN
LBC,Biên lợi nhuận ròng (%),3.12,3.25,3.59,NaN,NaN
LBC,Chỉ số thanh toán hiện thời,2.59,2.31,2.27,NaN,NaN
LBC,Chỉ số thanh toán nhanh,1.48,1.16,1.15,NaN,NaN
LBC,Chỉ số thanh toán tiền mặt,0.38,0.2,0.08,NaN,NaN
LBC,Đòn bẩy tài chính,1.48,1.48,1.56,NaN,NaN
LBC,Khả năng chi trả lãi vay,705.56,NaN,NaN,NaN,NaN
LBE,Biên EBIT (%),2.14,1.94,2.12,1.25,2.6
LBE,Biên lợi nhuận gộp (%),11.54,11.22,11.94,11.05,11.91
LBE,Biên lợi nhuận ròng (%),2.36,1.99,2.17,1.73,3.2
LBE,Chỉ số thanh toán hiện thời,13.18,2.57,7.9,8.54,2.46
LBE,Chỉ số thanh toán nhanh,7.15,0.75,2.87,2.66,1.07
LBE,Chỉ số thanh toán tiền mặt,2.48,0.17,0.44,0.22,0.12
LBE,Đòn bẩy tài chính,1.06,1.48,1.11,1.11,1.55
LBE,Khả năng chi trả lãi vay,343.75,6.05,17.17,7.61,NaN
LBM,Biên EBIT (%),13.88,12.6,13.49,18.06,12.39
LBM,Biên lợi nhuận gộp (%),23.71,22.91,23.44,29.22,22.24
LBM,Biên lợi nhuận ròng (%),11.31,10.43,10.91,13.89,9.46
LBM,Chỉ số thanh toán hiện thời,2.74,2.01,1.76,3.12,1.6
LBM,Chỉ số thanh toán nhanh,2.01,1.36,1.04,2.22,0.97
LBM,Chỉ số thanh toán tiền mặt,0.86,0.45,0.51,0.55,0.35
LBM,Đòn bẩy tài chính,1.19,1.25,1.34,1.28,1.32
LBM,Khả năng chi trả lãi vay,NaN,NaN,182.19,37.3,27.04
LCC,Biên EBIT (%),-46.36,-7.89,NaN,NaN,NaN
LCC,Biên lợi nhuận gộp (%),-44.39,-5.08,NaN,NaN,NaN
LCC,Biên lợi nhuận ròng (%),-112.27,-61.99,NaN,NaN,NaN
LCC,Chỉ số thanh toán hiện thời,0.06,0.2,NaN,NaN,NaN
LCC,Chỉ số thanh toán nhanh,0.03,0.17,NaN,NaN,NaN
LCC,Chỉ số thanh toán tiền mặt,0.0,0.0,NaN,NaN,NaN
LCC,Đòn bẩy tài chính,-0.53,-0.43,NaN,NaN,NaN
LCC,Khả năng chi trả lãi vay,-0.72,-0.15,NaN,NaN,NaN
LCD,Biên EBIT (%),5.09,6.29,8.55,15.07,11.27
LCD,Biên lợi nhuận gộp (%),10.88,13.78,26.11,33.67,27.07
LCD,Biên lợi nhuận ròng (%),2.24,1.66,0.33,0.32,0.23
LCD,Chỉ số thanh toán hiện thời,1.08,1.14,1.1,1.11,1.11
LCD,Chỉ số thanh toán nhanh,0.71,0.84,0.89,0.78,0.68
LCD,Chỉ số thanh toán tiền mặt,0.08,0.01,0.02,0.01,0.05
LCD,Đòn bẩy tài chính,5.05,4.47,4.25,3.98,4.05
LCD,Khả năng chi trả lãi vay,1.92,1.57,0.78,1.01,0.98
LCG,Biên EBIT (%),3.89,18.21,4.96,8.86,7.96
LCG,Biên lợi nhuận gộp (%),8.63,23.79,12.81,14.2,13.22
LCG,Biên lợi nhuận ròng (%),8.81,10.03,19.32,5.06,5.22
LCG,Chỉ số thanh toán hiện thời,1.15,1.43,1.7,1.47,1.42
LCG,Chỉ số thanh toán nhanh,0.96,1.06,1.12,1.0,0.71
LCG,Chỉ số thanh toán tiền mặt,0.07,0.1,0.04,0.22,0.11
LCG,Đòn bẩy tài chính,3.32,2.43,1.95,2.36,2.32
LCG,Khả năng chi trả lãi vay,1.31,3.09,0.72,3.51,3.26
LCM,Biên EBIT (%),-0.13,0.31,-18.9,3.72,1.19
LCM,Biên lợi nhuận gộp (%),1.08,10.87,-6.35,6.59,5.18
LCM,Biên lợi nhuận ròng (%),-3.99,19.72,-666.59,6.32,5.0
LCM,Chỉ số thanh toán hiện thời,4.97,2.36,3.76,2.4,1.23
LCM,Chỉ số thanh toán nhanh,4.15,1.36,3.58,2.29,1.02
LCM,Chỉ số thanh toán tiền mặt,0.02,0.03,0.04,0.03,0.0
LCM,Đòn bẩy tài chính,1.1,1.1,1.11,1.14,1.46
LCS,Biên EBIT (%),10.41,-244.9,NaN,NaN,NaN
LCS,Biên lợi nhuận gộp (%),17.75,-230.79,NaN,NaN,NaN
LCS,Biên lợi nhuận ròng (%),0.32,-302.12,NaN,NaN,NaN
LCS,Chỉ số thanh toán hiện thời,1.16,0.94,NaN,NaN,NaN
LCS,Chỉ số thanh toán nhanh,0.31,0.23,NaN,NaN,NaN
LCS,Chỉ số thanh toán tiền mặt,0.0,0.0,NaN,NaN,NaN
LCS,Đòn bẩy tài chính,3.88,14.36,NaN,NaN,NaN
LCS,Khả năng chi trả lãi vay,0.96,-4.79,NaN,NaN,NaN
LDG,Biên EBIT (%),3.81,22.31,-25.9,1029.88,379.56
LDG,Biên lợi nhuận gộp (%),26.73,56.9,38.86,317.69,109.84
LDG,Biên lợi nhuận ròng (%),0.93,43.78,2.2,1443.96,449.03
LDG,Chỉ số thanh toán hiện thời,1.68,1.91,1.95,1.49,1.0
LDG,Chỉ số thanh toán nhanh,1.12,1.44,1.5,1.14,0.7
LDG,Chỉ số thanh toán tiền mặt,0.0,0.03,0.0,0.0,0.0
LDG,Đòn bẩy tài chính,1.78,2.11,2.42,2.68,4.32
LDG,Khả năng chi trả lãi vay,2.56,1.43,-0.56,-8.69,-11.94
LDP,Biên EBIT (%),-9.27,-12.22,-13.51,-6.64,6.04
LDP,Biên lợi nhuận gộp (%),14.84,13.11,20.02,19.98,29.54
LDP,Biên lợi nhuận ròng (%),-10.27,23.39,-20.76,-10.81,3.12
LDP,Chỉ số thanh toán hiện thời,1.38,2.47,1.4,1.39,1.48
LDP,Chỉ số thanh toán nhanh,0.57,1.53,0.89,1.01,0.99
LDP,Chỉ số thanh toán tiền mặt,0.2,1.11,0.15,0.16,0.11
LDP,Đòn bẩy tài chính,1.87,1.41,2.03,2.11,2.09
LDP,Khả năng chi trả lãi vay,-3.64,-8.95,-3.36,-1.76,2.65
LDW,Biên EBIT (%),10.43,8.37,16.13,19.19,21.46
LDW,Biên lợi nhuận gộp (%),18.72,15.99,23.36,26.17,29.11
LDW,Biên lợi nhuận ròng (%),15.38,14.73,20.42,26.61,31.32
LDW,Chỉ số thanh toán hiện thời,9.36,6.27,9.96,10.9,1.27
LDW,Chỉ số thanh toán nhanh,9.1,6.12,9.85,10.76,1.18
LDW,Chỉ số thanh toán tiền mặt,0.25,0.43,0.54,0.65,0.58
LDW,Đòn bẩy tài chính,1.27,1.25,1.3,1.26,1.24
LDW,Khả năng chi trả lãi vay,1.45,1.18,2.93,4.1,5.46
LEC,Biên EBIT (%),3.26,2.69,6.89,-4.29,-0.57
LEC,Biên lợi nhuận gộp (%),7.06,6.47,16.23,10.27,10.93
LEC,Biên lợi nhuận ròng (%),0.1,0.56,-4.91,-29.53,-38.13
LEC,Chỉ số thanh toán hiện thời,1.28,1.25,1.11,1.4,1.28
LEC,Chỉ số thanh toán nhanh,1.0,1.04,1.02,1.29,1.12
LEC,Chỉ số thanh toán tiền mặt,0.02,0.02,0.01,0.0,0.01
LEC,Đòn bẩy tài chính,2.72,2.46,2.97,2.43,2.68
LEC,Khả năng chi trả lãi vay,0.87,0.56,0.43,-0.1,-0.02
LG9,Biên EBIT (%),4.45,5.55,6.45,4.08,NaN
LG9,Biên lợi nhuận gộp (%),12.78,10.89,14.25,8.65,NaN
LG9,Biên lợi nhuận ròng (%),0.99,1.02,0.7,0.25,NaN
LG9,Chỉ số thanh toán hiện thời,1.08,1.08,1.09,1.08,NaN
LG9,Chỉ số thanh toán nhanh,0.82,0.81,0.76,0.82,NaN
LG9,Chỉ số thanh toán tiền mặt,0.0,0.0,0.0,0.02,NaN
LG9,Đòn bẩy tài chính,5.03,5.33,5.02,5.37,NaN
LG9,Khả năng chi trả lãi vay,0.88,1.75,1.35,1.04,NaN
LGC,Biên EBIT (%),43.23,39.83,48.89,51.61,55.51
LGC,Biên lợi nhuận gộp (%),65.79,58.88,61.23,67.02,67.52
LGC,Biên lợi nhuận ròng (%),71.76,34.2,34.5,58.06,31.64
LGC,Chỉ số thanh toán hiện thời,0.82,0.85,0.56,0.56,1.07
LGC,Chỉ số thanh toán nhanh,0.77,0.81,0.55,0.55,1.06
LGC,Chỉ số thanh toán tiền mặt,0.13,0.13,0.04,0.23,0.17
LGC,Đòn bẩy tài chính,2.68,2.6,2.63,4.42,4.12
LGC,Khả năng chi trả lãi vay,1.66,1.54,2.23,2.4,1.38
LGL,Biên EBIT (%),-32.99,-19.53,-10.03,-63.27,-22.69
LGL,Biên lợi nhuận gộp (%),-13.51,8.16,5.4,5.39,5.51
LGL,Biên lợi nhuận ròng (%),2.36,3.68,3.39,18.21,-50.37
LGL,Chỉ số thanh toán hiện thời,1.23,1.23,1.18,1.65,1.2
LGL,Chỉ số thanh toán nhanh,0.81,0.82,0.82,1.12,0.44
LGL,Chỉ số thanh toán tiền mặt,0.07,0.02,0.02,0.01,0.01
LGL,Đòn bẩy tài chính,2.4,2.28,2.48,2.0,2.2
LGL,Khả năng chi trả lãi vay,-1.33,-0.48,-0.52,-2.8,-0.82
LGM,Biên EBIT (%),-10.32,-22.12,-6.99,-180.36,NaN
LGM,Biên lợi nhuận gộp (%),5.88,-5.66,5.62,-81.48,NaN
LGM,Biên lợi nhuận ròng (%),-10.58,-20.2,-9.9,-202.17,NaN
LGM,Chỉ số thanh toán hiện thời,1.59,1.03,0.86,0.14,NaN
LGM,Chỉ số thanh toán nhanh,1.33,0.96,0.7,0.07,NaN
LGM,Chỉ số thanh toán tiền mặt,0.04,0.05,0.0,0.0,NaN
LGM,Đòn bẩy tài chính,2.17,4.38,6.53,-1.44,NaN
LGM,Khả năng chi trả lãi vay,NaN,-158.15,-32.18,-88.42,NaN
LHC,Biên EBIT (%),12.38,10.01,9.88,13.82,11.83
LHC,Biên lợi nhuận gộp (%),21.47,19.77,19.39,24.73,20.14
LHC,Biên lợi nhuận ròng (%),10.46,8.46,8.25,11.28,9.52
LHC,Chỉ số thanh toán hiện thời,1.57,1.3,1.35,1.81,1.46
LHC,Chỉ số thanh toán nhanh,1.28,1.03,0.96,1.4,1.1
LHC,Chỉ số thanh toán tiền mặt,0.58,0.49,0.42,0.54,0.66
LHC,Đòn bẩy tài chính,1.55,1.76,1.68,1.59,1.6
LHC,Khả năng chi trả lãi vay,1081.86,865.32,127.76,35.97,42.89
LHG,Biên EBIT (%),33.8,44.98,31.28,34.76,36.67
LHG,Biên lợi nhuận gộp (%),45.6,52.67,40.78,50.86,51.69
LHG,Biên lợi nhuận ròng (%),30.87,37.91,32.43,42.09,43.42
LHG,Chỉ số thanh toán hiện thời,2.28,2.47,2.38,2.5,2.73
LHG,Chỉ số thanh toán nhanh,1.34,1.69,1.7,1.74,1.67
LHG,Chỉ số thanh toán tiền mặt,0.35,0.11,0.09,0.28,0.15
LHG,Đòn bẩy tài chính,2.03,1.94,1.96,1.92,1.85
LHG,Khả năng chi trả lãi vay,13.92,22.27,14.55,9.09,11.21
LIC,Biên EBIT (%),1.47,1.49,-0.74,-0.24,1.85
LIC,Biên lợi nhuận gộp (%),12.18,11.29,10.09,8.76,11.22
LIC,Biên lợi nhuận ròng (%),1.05,5.2,2.23,0.33,3.34
LIC,Chỉ số thanh toán hiện thời,0.61,0.63,0.6,0.59,0.64
LIC,Chỉ số thanh toán nhanh,0.44,0.43,0.35,0.4,0.5
LIC,Chỉ số thanh toán tiền mặt,0.05,0.08,0.03,0.04,0.14
LIC,Đòn bẩy tài chính,11.03,9.55,9.34,10.27,9.42
LIC,Khả năng chi trả lãi vay,0.29,0.19,-0.07,-0.04,0.32
LIG,Biên EBIT (%),6.26,-0.53,1.69,-0.61,1.43
LIG,Biên lợi nhuận gộp (%),9.0,2.91,4.71,2.46,3.6
LIG,Biên lợi nhuận ròng (%),0.47,1.9,0.3,0.08,0.04
LIG,Chỉ số thanh toán hiện thời,1.09,1.06,0.99,1.13,1.06
LIG,Chỉ số thanh toán nhanh,0.74,0.7,0.75,0.88,0.89
LIG,Chỉ số thanh toán tiền mặt,0.06,0.05,0.01,0.01,0.01
LIG,Đòn bẩy tài chính,6.4,5.87,4.95,4.7,5.26
LIG,Khả năng chi trả lãi vay,1.03,-0.16,0.51,-0.15,0.72
LIX,Biên EBIT (%),10.16,8.07,8.31,8.71,8.58
LIX,Biên lợi nhuận gộp (%),25.47,20.4,22.73,21.88,21.42
LIX,Biên lợi nhuận ròng (%),7.93,6.41,7.57,6.79,7.0
LIX,Chỉ số thanh toán hiện thời,1.5,1.7,2.02,1.98,2.04
LIX,Chỉ số thanh toán nhanh,0.56,0.71,1.02,1.16,1.3
LIX,Chỉ số thanh toán tiền mặt,0.04,0.34,0.51,0.65,0.83
LIX,Đòn bẩy tài chính,1.6,1.56,1.45,1.48,1.49
LIX,Khả năng chi trả lãi vay,76.56,51.15,60.79,63.35,63.97
LKW,Biên EBIT (%),28.33,32.07,33.86,30.81,30.6
LKW,Biên lợi nhuận gộp (%),56.82,57.04,59.9,57.52,55.92
LKW,Biên lợi nhuận ròng (%),28.76,30.74,31.5,33.24,31.2
LKW,Chỉ số thanh toán hiện thời,3.67,3.84,3.82,4.76,4.53
LKW,Chỉ số thanh toán nhanh,3.53,3.68,3.71,4.65,4.37
LKW,Chỉ số thanh toán tiền mặt,0.33,0.31,0.44,0.13,0.48
LKW,Đòn bẩy tài chính,1.16,1.17,1.18,1.14,1.13
LLM,Biên EBIT (%),2.16,2.23,1.72,0.0,0.77
LLM,Biên lợi nhuận gộp (%),4.54,5.01,3.12,2.36,2.36
LLM,Biên lợi nhuận ròng (%),0.35,-0.51,-1.88,-0.38,1.22
LLM,Chỉ số thanh toán hiện thời,1.01,1.02,1.04,1.04,1.11
LLM,Chỉ số thanh toán nhanh,0.88,0.85,0.88,0.95,0.98
LLM,Chỉ số thanh toán tiền mặt,0.14,0.19,0.51,0.52,0.62
LLM,Đòn bẩy tài chính,7.03,7.03,6.33,6.75,6.35
LLM,Khả năng chi trả lãi vay,1.01,0.72,0.55,0.0,0.52
LM3,Biên EBIT (%),-6.63,-15.19,-3.32,6.02,NaN
LM3,Biên lợi nhuận gộp (%),4.43,11.24,12.76,14.96,NaN
LM3,Biên lợi nhuận ròng (%),-145.01,-36.52,64.03,0.51,NaN
LM3,Chỉ số thanh toán hiện thời,0.22,0.31,0.58,0.58,NaN
LM3,Chỉ số thanh toán nhanh,0.16,0.24,0.47,0.47,NaN
LM3,Chỉ số thanh toán tiền mặt,0.0,0.0,0.0,0.0,NaN
LM3,Đòn bẩy tài chính,-0.31,-0.47,-1.42,-1.43,NaN
LM3,Khả năng chi trả lãi vay,-0.35,-0.4,-0.76,1.74,NaN
LM7,Biên EBIT (%),0.56,-27.65,-43.02,-46.45,NaN
LM7,Biên lợi nhuận gộp (%),7.13,-11.57,-29.09,-32.0,NaN
LM7,Biên lợi nhuận ròng (%),-5.17,-46.53,-58.53,-80.28,NaN
LM7,Chỉ số thanh toán hiện thời,1.03,0.93,0.79,0.68,NaN
LM7,Chỉ số thanh toán nhanh,0.41,0.3,0.3,0.19,NaN
LM7,Chỉ số thanh toán tiền mặt,0.0,0.0,0.03,0.0,NaN
LM7,Đòn bẩy tài chính,4.76,6.94,55.74,-6.27,NaN
LM7,Khả năng chi trả lãi vay,0.09,-1.42,-2.12,-1.34,NaN
LM8,Biên EBIT (%),3.15,3.97,4.4,4.49,2.65
LM8,Biên lợi nhuận gộp (%),5.79,7.01,8.07,8.52,6.54
LM8,Biên lợi nhuận ròng (%),0.44,1.0,1.07,0.89,1.06
LM8,Chỉ số thanh toán hiện thời,1.07,1.1,1.12,1.16,1.2
LM8,Chỉ số thanh toán nhanh,0.46,0.57,0.61,0.62,0.67
LM8,Chỉ số thanh toán tiền mặt,0.0,0.01,0.01,0.02,0.04
LM8,Đòn bẩy tài chính,5.42,4.55,4.55,4.1,3.91
LM8,Khả năng chi trả lãi vay,0.75,1.28,1.37,1.23,1.41
LMC,Biên EBIT (%),8.1,9.06,10.65,0.92,NaN
LMC,Biên lợi nhuận gộp (%),13.71,10.14,16.4,19.02,NaN
LMC,Biên lợi nhuận ròng (%),3.62,7.72,18.43,13.16,NaN
LMC,Chỉ số thanh toán hiện thời,1.44,5.45,3.99,5.34,NaN
LMC,Chỉ số thanh toán nhanh,0.73,5.45,3.91,5.11,NaN
LMC,Chỉ số thanh toán tiền mặt,0.32,0.0,0.03,0.34,NaN
LMC,Đòn bẩy tài chính,1.89,1.22,1.33,1.23,NaN
LMC,Khả năng chi trả lãi vay,1.97,3.54,158.14,NaN,NaN
LMH,Biên EBIT (%),-93.07,-477.64,-71.37,-119.34,NaN
LMH,Biên lợi nhuận gộp (%),9.34,-89.15,9.38,3.11,NaN
LMH,Biên lợi nhuận ròng (%),-110.92,-512.58,-87.69,-129.58,NaN
LMH,Chỉ số thanh toán hiện thời,1.47,1.12,1.17,0.7,0.67
LMH,Chỉ số thanh toán nhanh,1.03,0.73,0.51,0.22,0.21
LMH,Chỉ số thanh toán tiền mặt,0.0,0.0,0.01,0.03,0.18
LMH,Đòn bẩy tài chính,3.1,9.65,6.85,-2.35,-2.06
LMH,Khả năng chi trả lãi vay,-6.49,-14.95,-3.27,-11.39,-0.12
LMI,Biên EBIT (%),5.28,4.17,4.22,5.59,NaN
LMI,Biên lợi nhuận gộp (%),10.15,9.43,9.69,13.32,NaN
LMI,Biên lợi nhuận ròng (%),1.47,1.16,1.18,2.17,NaN
